City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Toora-Khem,54,RU,1563498062,84,52.47,96.11,57.29,2.19
1,Upernavik,100,GL,1563498062,88,72.79,-56.15,45.05,9.64
2,Damara,0,CF,1563498062,100,4.96,18.7,71.6,2.71
3,Mar del Plata,20,AR,1563498062,45,-46.43,-67.52,45.95,35.14
4,Odienne,45,CI,1563498062,96,9.51,-7.57,72.05,3.04
5,Mahebourg,75,MU,1563498063,69,-20.41,57.7,73.4,16.11
6,Cayenne,0,GF,1563498063,94,4.94,-52.33,77,2.3
7,Port Alfred,58,ZA,1563498063,75,-33.59,26.89,61,13.33
8,Ushuaia,75,AR,1563498063,44,-54.81,-68.31,41,13.87
9,Mushie,60,CD,1563498063,42,-3.02,16.92,82.31,2.71
10,Broken Hill,0,AU,1563498064,47,-31.97,141.45,57.2,3.29
11,Ancud,90,CL,1563498064,87,-41.87,-73.83,48.2,17.22
12,Pangnirtung,90,CA,1563498064,53,66.15,-65.72,51.71,8.21
13,Swarzedz,8,PL,1563498064,70,52.41,17.09,61,1.99
14,Punta Arenas,40,CL,1563498064,91,-53.16,-70.91,33.8,2.24
15,Saint-Philippe,1,CA,1563498065,83,45.36,-73.48,78.8,4.88
16,Maine-Soroa,97,NE,1563498065,63,13.21,12.02,81.77,26.57
17,Cidreira,0,BR,1563498065,92,-30.17,-50.22,60.71,10.94
18,Necochea,58,AR,1563498039,52,-38.55,-58.74,43.43,3.42
19,Geraldton,75,CA,1563498065,93,49.72,-86.95,64.4,4.7
20,Cape Town,75,ZA,1563497828,77,-33.93,18.42,59,11.41
21,Lorengau,20,PG,1563498066,77,-2.02,147.27,83.93,10.09
22,Vila do Maio,75,CV,1563498066,74,15.13,-23.22,78.8,3.36
23,Rikitea,73,PF,1563498066,74,-23.12,-134.97,68.27,24.52
24,Galesong,96,ID,1563498066,83,-5.32,119.37,79.43,10.94
25,Bredasdorp,33,ZA,1563498066,72,-34.53,20.04,60.8,23.04
26,Esperance,10,AU,1563498067,81,-33.86,121.89,50,16.11
27,Thompson,90,CA,1563498067,53,55.74,-97.86,71.6,3.36
28,Kaitangata,100,NZ,1563498067,76,-46.28,169.85,50,1.99
29,Butaritari,41,KI,1563498067,70,3.07,172.79,83.57,3.47
30,Kapaa,40,US,1563498068,58,22.08,-159.32,89.6,17.22
31,Bethel,90,US,1563497900,77,60.79,-161.76,60.8,9.17
32,Elizabeth City,1,US,1563498068,78,36.3,-76.22,88,6.6
33,Ust-Kut,100,RU,1563498068,69,56.78,105.75,58.19,6.82
34,Khatanga,8,RU,1563498068,41,71.98,102.47,61.79,7.58
35,Narsaq,75,GL,1563497854,71,60.91,-46.05,53.6,14.99
36,Aykhal,75,RU,1563498069,62,65.95,111.51,51.8,8.95
37,Chuy,100,UY,1563498069,86,-33.69,-53.46,56.03,7.36
38,Paraiso,40,BR,1563498069,94,-0.03,-51.17,82.4,10.29
39,Nizwa,0,OM,1563498069,40,22.93,57.53,79.97,1.14
40,Kruisfontein,61,ZA,1563498069,68,-34,24.73,57.11,7.18
41,Inongo,18,CD,1563498070,61,-1.93,18.29,77.27,1.81
42,Barrow,11,AR,1563498070,54,-38.31,-60.23,44.33,5.57
43,Sorong,80,ID,1563498070,94,-0.86,131.25,77.45,6.76
44,Jamestown,0,AU,1563498070,56,-33.21,138.6,51.35,6.35
45,Matola,0,MZ,1563498070,41,-25.97,32.47,60.8,6.93
46,San Rafael,0,AR,1563497951,39,-34.61,-68.33,45.23,7.76
47,Panaba,19,MX,1563498071,72,21.28,-88.27,82.31,10.63
48,Chaplygin,0,RU,1563498071,87,53.24,39.97,51.8,6.71
49,Mahon,75,IE,1563498071,100,51.89,-8.4,60.01,6.93
50,Ambilobe,0,MG,1563498072,71,-13.19,49.05,69.35,10.67
51,Avarua,42,CK,1563498072,78,-21.21,-159.78,77,8.05
52,Mataura,100,NZ,1563498072,95,-46.19,168.86,48.99,1.01
53,Hermanus,100,ZA,1563498072,83,-34.42,19.24,57.99,11.99
54,Tiksi,95,RU,1563498072,85,71.64,128.87,38.39,10.49
55,Hilo,90,US,1563498073,61,19.71,-155.08,82.4,14.99
56,Hithadhoo,99,MV,1563498073,75,-0.6,73.08,81.77,19.64
57,Cabo San Lucas,5,MX,1563497913,43,22.89,-109.91,93.99,11.41
58,Shubarshi,0,KZ,1563498073,20,48.59,57.19,81.05,8.9
